Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Climate regulation,Atmosphere,Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years.",Conversion of wetlands for commercial purposes and resource extraction leads to loss of regional climate regulating function.,Conversion of wetlands causes the average temperature to increase by 0.77?C in all four seasons.,Human action,Medium term,Global
Climate regulation,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Land use change alters sediment supply causing state change in asset,Carbon burial in marine sediments is reduced; carbon emissions increased,Human action,Short term,Coastal ecosystems
Climate regulation,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Deforestation reduces tree density and diversity,"Evapotranspiration decreases, more ground surface exposed increasing albedo and climate warming",Human action,Medium term,Tropics
Climate regulation,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Conversion of wetlands for commercial purposes and resource extraction leads to loss of regional climate regulating function.,Conversion of wetlands causes the average temperature to increase by 0.77?C in all four seasons.,Human action,Medium term,Global
Climate regulation,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.",Forests converted to cultivated land causes removal of above ground biomass.,Increase in carbon emissions.,Human action,Short term,Tropical forests
Climate regulation,Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.",Land use change alters sediment supply causing state change in asset,Carbon burial in marine sediments is reduced; carbon emissions increased,Human action,Short term,Coastal ecosystems
Climate regulation,Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.",Wetland drainage and peat harvesting causes land use change and exposes upper soil layer resulting in loss of soil organic carbon.,Wetland drainage increases soil aeration. Soil microorganism respiration rates therefore increase. Wetlands no longer accumulate soil organic carbon but become CO2 sources.,Human action,Short term,Global
Climate regulation,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Alters freshwater supply and resources.,"Changed habitat dynamics, reduction in stability of blue carbon habitats.",Human action,Short term,Coastal ecosystems
Climate regulation,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,Forests converted to cultivated land causes removal of above ground biomass.,Increase in carbon emissions.,Human action,Short term,Tropical forests
Climate regulation,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Alters freshwater supply and resources.,"Changed habitat dynamics, reduction in stability of blue carbon habitats.",Human action,Short term,Coastal ecosystems
Climate regulation,Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Conversion of wetlands for commercial purposes and resource extraction leads to loss of regional climate regulating function.,Conversion of wetlands causes the average temperature to increase by 0.77?C in all four seasons.,Human action,Medium term,Global
Climate regulation,Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ",Land use change alters sediment supply causing state change in asset,Carbon burial in marine sediments is reduced; carbon emissions increased,Human action,Short term,Coastal ecosystems
Climate regulation,Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ",Industrial activities and construction cause land use change and exposes upper soil layer resulting in loss of soil organic carbon.,Soil drainage increases aeration. Soil microorganism respiration rates therefore increase. Soil no longer accumulates soil organic carbon but becomes CO2 source.,Human action,Short term,Global
Climate regulation,Soils and sediments,Industrial or domestic activities,A,"Industrial activities and urbanisation are key sources of local soil contamination. Intensive activites such as inadequate waste disposal, and industry accidents can cause excessive contamination of soils. Urbanisation and industralisation also increases acid deposition in soils, changes in soil nutrients and soil water.",Land use change alters sediment supply causing state change in asset,Carbon burial in marine sediments is reduced; carbon emissions increased,Human action,Short term,Coastal ecosystems
Climate regulation,Soils and sediments,Industrial or domestic activities,A,"Industrial activities and urbanisation are key sources of local soil contamination. Intensive activites such as inadequate waste disposal, and industry accidents can cause excessive contamination of soils. Urbanisation and industralisation also increases acid deposition in soils, changes in soil nutrients and soil water.",Industrial activities and construction cause land use change and exposes upper soil layer resulting in loss of soil organic carbon.,Soil drainage increases aeration. Soil microorganism respiration rates therefore increase. Soil no longer accumulates soil organic carbon but becomes CO2 source.,Human action,Short term,Global
Climate regulation,Water,Industrial or domestic activities,R,"Demand for water for industrial or domestic activities will increase as a result of continued development pressures unless water assets are appropriately managed, reducing the amount of water available for providing or supporting other ecosystem services. Industrial or domestic activities are also expected to increase over time as a response to economic development and population growth - these activities will continue to have an impact on water.",Alters freshwater supply and resources.,"Changed habitat dynamics, reduction in stability of blue carbon habitats.",Human action,Short term,Coastal ecosystems
Climate regulation,Atmosphere,Industrial or domestic construction,A,"Population pressure is predicted to continue over the next 50 years, driving greater industrialisation and construction, especially within developing countries. Models predict an overall trend of increased compositional change in the atmosphere over the next 100 years in response. Atmosphere is increasingly susceptible to increased construction as associated deforestation can reduce natural filtration processes. It is estimated that extreme climate processes, such as the El Nino Southern Oscillation, will increase as a result of associated global warming changing convection currents in both the oceans and the atmosphere. Evolving international and domestic regulations and policies in favour of environmentally friendly technology means that the relationship between the atmosphere and construction cannot be predicted with a high degree of certainty over an extended period of time and that there is a high degree of variability between prediction models. ",The sealing of soils by urban construction in urban areas modifies the local climate.,"Vegetation no longer regulates climate, leading to even higher temperatures.",Human action,Short term,Urban areas
Climate regulation,Habitats,Industrial or domestic construction,A,"Habitat quantity and quality are negatively affected by industrial or domestic construction. As the demand for infrastructure increases as a response to population increases, habitats are likely to be impacted. Construction is phased, therefore physical, chemical and biological impacts affect habitats in both the short and long term. Impacts vary by location, and habitats differ in their resilience to impacts.",The sealing of soils by urban construction in urban areas modifies the local climate.,"Vegetation no longer regulates climate, leading to even higher temperatures.",Human action,Short term,Urban areas
Climate regulation,Water,Industrial or domestic construction,R,"Demand for water for construction will increase as a result of continued development pressures - unless water is appropriately managed this will see changes to level of service provision. Industrial or domestic construction is anticipated to grow over the next 5 years and the construction industry has the potential to irreversibly damage and alter water bodies and quality. Water bodies vary spatially, however the impact of industry and construction is well-documented, with low variability across systems.",The sealing of soils by urban construction in urban areas modifies the local climate.,"Vegetation no longer regulates climate, leading to even higher temperatures.",Human action,Short term,Urban areas
Climate regulation,Habitats,Ocean current and circulation,R,"Habitats are likely to exhibit a negative response to changing ocean currents and circulation. Due to climate change effects, sea ice has been observed to be rapidly thinning and decreasing in area, reducing Arctic and Antarctic habitats. A secondary effect of this is the reintroduction of colder less saline waters into major oceans, disrupting currents that in turn alter atmospheric climate regulators such as the Gulf stream, and potentially causing significant changes to weather patterns and negatively impacting global habitats.",Increase in freshwater due to melting of ice caps linked to climate change leads to weakening or collapse of the ocean thermohaline circulation.,Air-sea carbon uptake substantially reduced.,Human action,Long term,Global
Climate regulation,Habitats,Ocean current and circulation,R,"Habitats are likely to exhibit a negative response to changing ocean currents and circulation. Due to climate change effects, sea ice has been observed to be rapidly thinning and decreasing in area, reducing Arctic and Antarctic habitats. A secondary effect of this is the reintroduction of colder less saline waters into major oceans, disrupting currents that in turn alter atmospheric climate regulators such as the Gulf stream, and potentially causing significant changes to weather patterns and negatively impacting global habitats.",Breakdown in thermohaline circulation caused by rapid glacial melting and influx of freshwater to oceans.,Rapid climate cooling and loss of regional climate regulating function.,Human action,Long-term,Regional seas and smaller regions of ocean
Climate regulation,Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.",Increase in freshwater due to melting of ice caps linked to climate change leads to weakening or collapse of the ocean thermohaline circulation.,Air-sea carbon uptake substantially reduced.,Human action,Long term,Global
Climate regulation,Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.",Breakdown in thermohaline circulation caused by rapid glacial melting and influx of freshwater to oceans.,Rapid climate cooling and loss of regional climate regulating function.,Human action,Long-term,Regional seas and smaller regions of ocean
Climate regulation,Soils and sediments,Overharvesting,A,"Overharvesting has a great impact on soil quality; it has the potential to increase soil acidity, cause changes in nutrient availability, soil compaction, fertility, and erosion among other effects. These effects are still present many years post-harvest.",Timber and wood harvesting leads to a reduction in standing timber biomass and exposes upper soil layer.,"Soil organic carbon declines rapidly under cultivation, e.g. woodland conversion results in soil degradation, erosion and loss of organic matter, diminishing the soil potential to sequester carbon.",Human action,Long term,Global
Climate regulation,Soils and sediments,Overharvesting,A,"Overharvesting has a great impact on soil quality; it has the potential to increase soil acidity, cause changes in nutrient availability, soil compaction, fertility, and erosion among other effects. These effects are still present many years post-harvest.",Stump and root harvesting as a source of woody biomass for bioenergy generation leads to soil disturbance.,"Stump harvesting causes existing soil organic carbon to become mineralised, leading to carbon loss as carbon dioxide, e.g. 1 tonne carbon per hectare per year might be lost compared with sites undisturbed by stump harvesting operations.",Human action,Short term,Global
Climate regulation,Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,Timber and wood harvesting leads to a reduction in standing timber biomass and exposes upper soil layer.,"Soil organic carbon declines rapidly under cultivation, e.g. woodland conversion results in soil degradation, erosion and loss of organic matter, diminishing the soil potential to sequester carbon.",Human action,Long term,Global
Climate regulation,Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,Stump and root harvesting as a source of woody biomass for bioenergy generation leads to soil disturbance.,"Stump harvesting causes existing soil organic carbon to become mineralised, leading to carbon loss as carbon dioxide, e.g. 1 tonne carbon per hectare per year might be lost compared with sites undisturbed by stump harvesting operations.",Human action,Short term,Global
Climate regulation,Habitats,Sea level rise,R,"Terrestrial habitats are likely to suffer significant losses over the next 100 years with sea levels expected to rise by 1-2m. This will also have significant impacts on intertidal habitats which may lose up to 90% area coverage in steep coastal shores. Terrestrial vegetation is highly susceptible to salt water intrusion and will be affected with a high degree of variability as a consequence of differing coastal topographies, soil types and estuarine systems.",Surface area of coastal habitats reduced by rising sea level.,Removal of organic component of coastal sediments and their burial. Loss of carbon sink.,Human action,Long term,Coastal ecosystems
Climate regulation,Water,Sea level rise,A,"Sea level rises cause sea water intrusion (or salt water intrusion) - which is the encroachment of saline water into fresh ground water regions in coastal aquifer settings, which can have a detimental effect on the provision of water.",Surface area of coastal habitats reduced by rising sea level.,Removal of organic component of coastal sediments and their burial. Loss of carbon sink.,Human action,Long term,Coastal ecosystems
Climate regulation,Habitats,Sea surface temperature,A,Warm water marine habitats will exhibit a poleward shift with rising sea surface temperatures while terrestrial habitats will be negatively impacted by enhanced extreme climatic events that are linked with sea surface temperatures (e.g. El Nino events). ,Caused an annual 1% decline in phytoplankton in worlds’ oceans.,Less carbon absorbed by phytoplankton for photosynthesis.,Human action,Short term,Global
Climate regulation,Soils and sediments,Sea surface temperature,A,Increasing sea surface temperatures contribute to acidification and declining phytoplankton levels with consequences on sea floor sediments.,Caused an annual 1% decline in phytoplankton in worlds’ oceans.,Less carbon absorbed by phytoplankton for photosynthesis.,Human action,Short term,Global
Climate regulation,Species,Sea surface temperature,R,"Rising sea surface temperatures can have devastating effects on species such as shallow water corals that experience bleaching or even death due to temprature rises. The destruction of coral reefs, in turn, has an extensive impact on a wide range of species. Further, changes in sea surface temperatures can alter climatic conditions impacting terrestrial and marine species globally through destructive processes (droughts, hurricane etc), altering habitat ranges and ecological niche displacement.",Caused an annual 1% decline in phytoplankton in worlds’ oceans.,Less carbon absorbed by phytoplankton for photosynthesis.,Human action,Short term,Global
Climate regulation,Water,Sea surface temperature,R,"Changes to sea surface temperature will affect water resources provided by oceans, for example less carbon will be absorbed by phytoplankton for photosynthesis.",Caused an annual 1% decline in phytoplankton in worlds’ oceans.,Less carbon absorbed by phytoplankton for photosynthesis.,Human action,Short term,Global
Climate regulation,Atmosphere,Weather conditions,R,"The observed rise in global atmospheric temperatures are correlated with extreme weather events. The effects are not uniform across the globe, resulting in high variability in the response of the atmosphere to changing weather patterns. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to further negative weather patterns in the future.",Climatic anomalies (e.g. ENSO) create deficits and excesses in temperature and precipitation.,"Regulation of regional climate is heavily impacted, e.g. an El Niño is associated with warm and very wet weather months in April–October causing major flooding in southern hemisphere countries such as Peru and Ecuador.",Natural variation,Long-term,Regional
Climate regulation,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Permafrost (frozen soil layer) melting due to higher average annual temperatures,"Methane gas bubbles trapped in soil released as it melts, increasing emissions to the atmosphere, exacerbating the warming effect in the short term and causing a positive feedback in the long term as warming continues to melt permafrost releasing more methane.",Human action,Long term,High latitudes
